"cd-file-3"
"Iteration" "cd-report"
("Iteration" "cd-report")
1 0.0276116650606116
2 0.0343612780672751
3 0.03117503855582323
4 0.02848360669630765
5 0.02578950725022142
6 0.02342466064605034
7 0.02130412835564075
8 0.01948527805352662
9 0.01786767335555454
10 0.016489394047887
11 0.01524761625118935
12 0.01419082495921443
13 0.01330637009537321
14 0.0125925684735714
15 0.01201328464357715
16 0.01155101565063707
17 0.01117920218948491
18 0.01088953744342634
19 0.01065687249632899
20 0.01047504690276237
21 0.0103292850888947
22 0.0102143317838864
23 0.01011994178030345
24 0.01004466271163238
25 0.00998115285879932
26 0.009930664928166419
27 0.009887764896695931
28 0.009852538553295452
29 0.009821200142297114
30 0.009794270222607865
31 0.009768885999231113
32 0.009746672301068614
33 0.009725441536623696
34 0.009705485460868035
35 0.009686659741917398
36 0.009668544074859306
37 0.009651225789655412
38 0.009634350607617729
39 0.009618031569103711
40 0.009602111698764858
41 0.009586799071102556
42 0.00957194625632732
43 0.009557790062745113
44 0.009544183084369986
45 0.009531229613152723
46 0.009518841018227303
47 0.009507112328965263
48 0.009495947790220212
49 0.009485414477365192
50 0.009475479820651344
51 0.009466131526847676
52 0.009457359368447138
53 0.009449168454043323
54 0.0094415347772968
55 0.009434367784464997
56 0.009427704586827498
57 0.009421469730047883
58 0.009415724566830812
59 0.009410290816011789
60 0.009405251602052805
61 0.009400478162782935
62 0.009396056248912193
63 0.009391859518281543
64 0.009387973147327139
65 0.009384252713466259
66 0.009380812424618102
67 0.009377490044887573
68 0.009374414889180055
69 0.009371416331206453
70 0.009367974672745258
71 0.009364715485470019
72 0.009361770791845024
73 0.009358907758326682
74 0.009356325701819577
75 0.00935379636119562
76 0.009351522927763607
77 0.009349277629539443
78 0.009347259347218253
79 0.009345249995689375
