"cd-file-5"
"Iteration" "cd-report"
("Iteration" "cd-report")
1 0.02771854666183697
2 0.03437303780618621
3 0.03111597720234258
4 0.02816659843155647
5 0.02501330814288726
6 0.02196914630959371
7 0.01897214082387986
8 0.0161376722430504
9 0.01342952588958391
10 0.01096394217614191
11 0.008760575860282026
12 0.006833611176014218
13 0.005183934894830653
14 0.003823268535088825
15 0.002715645712253607
16 0.001831104222036914
17 0.001134917022727231
18 0.0005998581915168658
19 0.0002568683461544303
20 -4.449561285547728e-05
21 -0.0002736016412796411
22 -0.0004554730092478608
23 -0.0006232124575076597
24 -0.0007478573604225801
25 -0.0008466572418804166
26 -0.0009217722116624655
27 -0.000981808832910429
28 -0.001029059594691025
29 -0.001067281570780588
30 -0.001096811886069526
31 -0.001114795280347445
32 -0.001132323614983983
33 -0.001151399200188875
34 -0.001170270711448786
35 -0.001190708520891437
36 -0.001210752299071777
37 -0.00123184768851627
38 -0.001252232836203225
39 -0.001272898369922118
40 -0.001300977707197238
41 -0.001332158142009272
42 -0.001360898605778542
43 -0.001388321833415497
44 -0.001414575424093902
45 -0.001439644847205971
46 -0.001463026144839965
47 -0.001484731731093373
48 -0.001505170988235896
49 -0.001524379879093999
50 -0.001542233554598936
51 -0.001558922570782562
52 -0.001574362988486527
53 -0.001588779658278353
54 -0.001602315736612903
55 -0.001614994207117885
56 -0.001626925048978355
57 -0.001637813194939456
58 -0.001647858811128318
59 -0.00165692561658411
60 -0.001665317732191746
61 -0.001673102610756024
62 -0.001680501499415651
63 -0.001687396582120206
64 -0.00169375152924921
65 -0.00169955465885275
66 -0.00170489628742851
67 -0.001709804567731746
68 -0.001714547805757336
69 -0.001719076213957022
70 -0.001723501133040369
71 -0.001727493216455079
72 -0.001731207230521355
73 -0.001734512196579306
74 -0.001737584260514102
75 -0.001740458177795996
76 -0.0017433356109088
77 -0.001746116979916576
78 -0.001748768944592269
