airfoil_name,source,au0,au1,au2,au3,au4,au5,al0,al1,al2,al3,al4,al5
ft_airfoil_55418,ft,0.29827251846265207,0.5188985889763725,0.3248019559489964,0.5804100872549762,0.3166287960673287,0.49896119320751464,-0.19386984781662003,-0.015149579336377492,-0.15075177923228888,-0.017754034773135762,-0.07794027084564639,-0.045018288822846836
nlf_airfoil_74154,nlf,0.16061618330871769,0.22415265598148093,0.18479183748154013,0.2830363684351819,0.18732458182262424,0.16872293515659953,-0.10107167770258382,-0.0685420301435209,-0.08296823514967944,0.001181088903453184,-0.05657445576104332,0.12564182029452892
nlf_airfoil_76490,nlf,0.18280131157112586,0.2664993495284967,0.1113319086482027,0.2607496915172432,0.11142612572267373,0.23608930631313574,-0.11048343731454188,0.23260836140490646,-0.17999216245790509,0.2131913948225637,-0.07887905923192066,0.01726261621831263
ft_airfoil_15227,ft,0.19300888720474788,0.39161782285547897,0.1704847242950923,0.39989080879500843,0.18350833803170674,0.2722938754792333,-0.12205294126228033,0.038191593721597715,-0.09300983855511287,0.053024744502395055,-0.08527619649150532,0.028792315769111867
nlf_airfoil_76137,nlf,0.18007858050692976,0.32114012516243756,0.13466322566587577,0.5557202769786411,0.15138157171672317,0.44965553610345244,-0.10094012763719462,-0.09171119351465928,-0.12169882019094219,-0.02741391039189501,-0.05700271351078498,0.3046430550665593
ft_airfoil_46855,ft,0.21302392236854395,0.3190381495411233,0.1853342515025322,0.3375209910917186,0.17089250383301874,0.23683566881246962,-0.1351909895281602,-0.05759654700173743,-0.08144018143494608,-0.06909538688156219,-0.03453317974749675,0.003676040896158453
ft_airfoil_32888,ft,0.20691179263253692,0.3864151747810652,0.19428767503044003,0.3580318143459186,0.20618484337097656,0.21689599994865125,-0.1410017079876127,-0.06672655648892832,-0.08973630462598733,-0.027866984175952663,-0.06240396228674912,-0.020646860225391566
nlf_airfoil_25476,nlf,0.19799330802160806,0.31514957534853205,0.1654983979205526,0.22416740742744612,0.08413248336276037,0.21690551057399324,-0.14822346587102325,-0.23179074003978112,-0.16686839543583695,-0.16040689004835637,-0.1455378389222698,-0.1499067335720227
ft_airfoil_14101,ft,0.21544689773556683,0.3713925769452106,0.18671643682159472,0.45196442653684943,0.17173268154634502,0.2792231566056925,-0.17597925775810758,-0.18338542791696816,-0.13374033105231953,-0.28717264551849303,-0.10922233542802708,-0.16892458981934308
nlf_airfoil_80138,nlf,0.25253063162392286,0.603829329342878,0.2142743091474542,0.5882033145102037,0.12369832582642204,0.3592866650618236,-0.2256840592190228,-0.1257740012939445,-0.16435886202195216,-0.19840695938232072,-0.15884000690068806,-0.29999240221392276
ft_airfoil_15264,ft,0.16818183152433888,0.30943476432379513,0.13363425721214744,0.324085627947,0.07528539223831476,0.19833370534358172,-0.10139797906802522,-0.01854264264792055,-0.1490248285154268,-0.00496015207091168,-0.07856149746859517,-0.021017153890740433
ft_airfoil_14559,ft,0.20392271994709107,0.4273471119452432,0.2666353316791191,0.49020697680246006,0.30195540553901384,0.44098145545672673,-0.10920662407416525,-0.04833151721541796,-0.03275095166007007,-0.0017103102453299747,-0.03404523131647065,0.12363535355594604
