airfoil_name,au0,au1,au2,au3,au4,au5,al0,al1,al2,al3,al4,al5
2032c,0.1647366283709057,0.514592775390173,-0.030146779811934254,0.4920159512155369,0.08629054540059004,0.273674518891211,-0.041537711551191,0.12001499835740095,0.09407539180649191,0.13701473557799276,0.1082758792024038,0.12280882697886966
a18,0.2817322449859596,0.07916915945490388,0.36485924656920854,0.15088866454558542,0.2036871548213094,0.36432821864578574,0.06467004020357482,-0.1636947330244834,0.29721780612794957,-0.15162316775950394,0.20971729490286334,0.07281472808993895
a18sm,0.12958441961462444,0.19993118345493982,0.1500830964225608,0.2557592873002014,0.13693264890013063,0.29988284661345627,-0.09963251316147488,-0.009888530249091103,0.0318967378947468,0.002926325165261819,0.10997432679405857,0.016402353331292353
a63a108c,0.16206035134526095,0.08368479682297322,0.09915387253668342,0.1721761009043505,0.02925121487015527,0.17369491481949184,-0.12028133785936365,-0.03446752937376457,-0.1566877799802636,-0.016196005562716477,-0.11411085690530036,-0.005660540301919484
ag03,0.13775292792915178,0.156173920405625,0.10592092174657328,0.12733631937110212,0.11414676624686851,0.083312279424978,-0.06813922690427618,-0.00579303533362753,-0.04376452832155942,0.009928637183982446,-0.04239134464286383,0.014942378593407945
ag04,0.12480242734831942,0.15775397930309287,0.08646100408674358,0.12880236539172735,0.09863022262541334,0.07572710744583068,-0.0837226650746289,-0.03096818538674693,-0.0407952124646093,0.01643490767484215,-0.025481540374514583,0.014738809232328016
ag08,0.11745378570710767,0.1530591175366821,0.07317264528816429,0.12723523962502162,0.09311419109660773,0.08669130544316721,-0.08563818332840265,-0.007811287826774049,-0.04398839604036688,0.04080583554395446,-0.03691114515646007,0.022564489354695686
ag09,0.11332391828733791,0.14289475743749194,0.05801261943251802,0.12252075025311521,0.0717409282042695,0.07383442652102129,-0.08524018413395756,0.03922068241734776,-0.048959560157525214,0.0451552716814153,-0.03318225908774794,0.02156140424827137
ag10,0.12138380004052608,0.12433961687037376,0.05377133118858249,0.1166571786273121,0.05132132016713657,0.10025932001660352,-0.08792461131067994,0.03832183603271033,-0.04280283149371396,0.03963003179692159,-0.029199539913787154,0.010472233828912691
ag11,0.1554744770054832,0.14328545074199028,0.11782385113892757,0.12430270944504922,0.10811671398123261,0.09639843617132048,-0.05793195466311254,0.035965396743748795,-0.07415238650472983,0.049322132554068004,-0.04771425080469345,0.014765170683200084
ag12,0.12188365630520107,0.15567011628361355,0.0873074819215271,0.1203709440134186,0.09669769922054958,0.07582544378403346,-0.07904473794387927,-0.030963569712698785,-0.03876396367357149,0.03588795639599314,-0.008498950898265464,0.06066068937987019
ag13,0.12211398904244136,0.14984175951211703,0.0895343585990021,0.11553840070583105,0.1008284449374115,0.07695862938507914,-0.07456310253411888,-0.014326399245783588,-0.03862907738417667,0.05001795892078646,-0.006208697492030638,0.06491004098228402
ag14,0.12168171652719754,0.1482675430121188,0.08288963445452145,0.11624964808375723,0.09706681866205853,0.07908656533360152,-0.06929849696884471,0.0031701684357486972,-0.03151752257058385,0.06092798866364293,-0.008584511310719937,0.07200620385369699
ag16,0.12389975263254613,0.16997038138018447,0.09843309600580603,0.13208387417294665,0.11846504043558234,0.07764248393243532,-0.0867713084280887,-0.05916390548561565,-0.034560450918206455,0.009395737318448488,-0.001269577043080841,0.054297548718818
ag17,0.12419727999811545,0.16255721177717197,0.09382097026235577,0.13180198543692423,0.11396411483656566,0.0769775506234624,-0.07944619546382942,-0.035381407369373626,-0.03428419298171799,0.030836822254407807,-0.00010304428577310337,0.05899677205444002
ag18,0.1245023830127069,0.15517099390123082,0.08914806935119729,0.13158937013263833,0.10940516834279021,0.07634581919267441,-0.07245949641414076,-0.011191057015632503,-0.03443131211786004,0.05265187895726146,0.000892875512567022,0.06377408488647175
ag19,0.12471669111990095,0.15002369207170715,0.08583475003927403,0.13148187023465085,0.1061840033400015,0.0759149692864532,-0.06800383327038186,0.006460345085360496,-0.02967524502769804,0.06091529623499994,0.006450911281481315,0.0652454226908229
ag23,0.1369151853155491,0.21453239045479128,0.12403395949603929,0.18105291453111466,0.1718216183681462,0.11150834575338284,-0.09252960230051843,-0.0676010014340715,-0.06425528619042423,-0.007374824246364145,-0.049486010978134355,0.08424583386178656
ag24,0.13429805135668127,0.2067340227609477,0.118857338431193,0.17287064822599327,0.16125211185028474,0.10775777467019791,-0.08974697905273488,-0.06153476292827649,-0.055234531706851255,0.001423859472213792,-0.03432544016446015,0.08173895482014881
ag25,0.133108183429086,0.19700310156373585,0.1122618700979275,0.1677901947225513,0.15002060108962553,0.1059890078617785,-0.08200024871061343,-0.03954813452887325,-0.04521987153308926,0.025651540756743176,-0.016936439511352996,0.08409360967884406
ag26,0.1344715848605979,0.1816038438774372,0.11428132032126936,0.157624231851584,0.13982897534052122,0.0995943012950009,-0.07725149545810364,-0.016927972416994015,-0.0399789387785076,0.04936273246394639,-0.005129335701850698,0.07907443556310051
ag27,0.1360156442620206,0.16436249709871473,0.11960344621345245,0.14000601258606749,0.13784300941268496,0.09131897691760248,-0.07237201759381577,0.002147105954980678,-0.028013454574481716,0.07033508860728939,0.005969928548237938,0.07251595285850664
ag35,0.3944456309707719,-0.024340228738095576,0.5666813435380488,-0.13328869083390926,0.3846890855733944,0.11215530413202873,0.1488650170471238,-0.2748711845173457,0.3635942254598887,-0.31488876038396213,0.17507567838522217,-0.03249131676502594
ag36,0.3656985776377857,-0.015025222406710254,0.5194055182241426,-0.11035359559833102,0.33991594889077315,0.13097526726354142,0.1330429928855548,-0.2460886242621183,0.32523298634949727,-0.27977220706115663,0.15388866409441532,-0.024619881194354327
ag37,0.34535732463833235,-0.003296991818063727,0.4704044956819389,-0.08067102156883027,0.2909585624536295,0.17224002599625887,0.11542068541138911,-0.21317846410233482,0.2814733832829539,-0.24009506517056114,0.13008093519081076,-0.015876929984439084
ag38,0.31396151366271063,-0.0023414235815839013,0.4168400420888427,-0.04391996051580191,0.239854291409795,0.21289587083919842,0.09328502907961964,-0.17208764650054745,0.2268661548755086,-0.19022328104581343,0.10014914911442008,-0.004741610000444469
ag44ct02r,0.14034456632328565,0.18402045841928247,0.09944878773487698,0.15511731306695586,0.07962499261553219,0.0954443987224204,-0.08198263677220699,-0.028303210276974314,-0.06089543512933633,0.011871953170159648,-0.04795897722706929,0.02738822106132197
ag455ct02r,0.13647807660199726,0.15746379795564833,0.10403661303943172,0.11797495683482599,0.06841827728350823,0.07903399576924121,-0.07672892719167097,-0.017493520939618097,-0.050328599912861975,0.017874009739067963,-0.05180087730501363,0.04438440060048685
ag45c03,0.12897682317156775,0.2649975627831979,-0.09312289775195813,0.5291789958839606,-0.35260077716155086,0.5668602538599059,-0.09066296623590586,0.0682657814174395,-0.2526534317718597,0.41246715923127253,-0.4493238364544515,0.5315214161935407
ag45ct02r,0.1368287468199455,0.17005778052204854,0.10332286830141808,0.13281081100417777,0.07091071494495879,0.07866893010370207,-0.07974974681112006,-0.02295612665981378,-0.059191197940941825,0.014549083500627134,-0.04604931701087418,0.030824395247420807
ag46c03,0.1192660202862582,0.227411910036328,-0.10035774306502739,0.5118478088791679,-0.352579218511613,0.5517887035173203,-0.08729313881463462,0.07899799458340262,-0.2596338494148246,0.4187515459048465,-0.4552054351695824,0.5287409213093376
ag46ct02r,0.13186002529708818,0.13541126236267298,0.11491998864493078,0.09130119226096312,0.0756967762758492,0.0709833203378331,-0.07531914265828825,-0.016062631484277057,-0.04851554065426403,0.01592647564423553,-0.051567367326364605,0.04098918357361323
