Airfoil: AG455ct-02r fp24.6
Builder: M. Drela, et al.
Comment: Clean, Flap = 24.6°

Number of Reynolds #'s:
4

Average Reynolds #:
100445.3
Number of angles of attack:
45
 alpha  /   Cl   /  Cm
-10.22   -0.14  -0.0852
 -9.15    0.34  -0.2146
 -7.95    0.44  -0.2174
 -7.21    0.51  -0.2223
 -6.13    0.59  -0.2203
 -5.06    0.68  -0.2129
 -4.07    0.75  -0.2089
 -3.04    0.85  -0.2089
 -2.07    0.94  -0.2087
 -1.05    1.01  -0.2005
 -0.10    1.06  -0.1956
  1.01    1.34  -0.2148
  1.96    1.32  -0.1969
  3.11    1.33  -0.1808
  4.06    1.37  -0.1736
  5.06    1.41  -0.1639
  6.13    1.44  -0.1533
  7.02    1.50  -0.1932
  8.01    1.48  -0.2456
  8.90    1.39  -0.2656
  9.95    1.32  -0.2757
 10.91    1.33  -0.2879
 11.96    1.32  -0.2884
 11.71    1.32  -0.2772
 10.68    1.31  -0.2702
  9.67    1.35  -0.2669
  8.70    1.40  -0.2479
  7.83    1.46  -0.2283
  6.80    1.51  -0.1560
  5.92    1.46  -0.1499
  4.79    1.41  -0.1578
  3.75    1.36  -0.1672
  2.73    1.33  -0.1761
  1.74    1.33  -0.1874
  0.73    1.33  -0.2028
 -0.25    1.07  -0.1836
 -1.29    1.01  -0.1920
 -2.38    0.91  -0.1950
 -3.40    0.83  -0.1992
 -4.30    0.74  -0.1969
 -5.33    0.66  -0.2065
 -6.65    0.59  -0.2165
 -7.55    0.53  -0.2150
 -8.78    0.40  -0.2107
 -9.53    0.31  -0.1980
Tabulated from data in file 06801gw.dat & reduced using program C10.20

Average Reynolds #:
201194.9
Number of angles of attack:
41
 alpha  /   Cl   /  Cm
-10.04    0.48  -0.2501
 -9.20    0.57  -0.2535
 -8.12    0.65  -0.2505
 -7.21    0.71  -0.2473
 -6.17    0.74  -0.2375
 -5.11    0.72  -0.2204
 -4.13    0.80  -0.2171
 -3.11    0.89  -0.2132
 -2.08    0.96  -0.2060
 -1.08    1.06  -0.2056
  0.02    1.32  -0.2165
  0.95    1.32  -0.2048
  1.96    1.33  -0.1924
  3.08    1.37  -0.1814
  4.13    1.42  -0.1743
  5.15    1.48  -0.1675
  6.13    1.51  -0.1584
  7.06    1.59  -0.2000
  7.97    1.58  -0.2376
  9.02    1.50  -0.2715
 10.02    1.36  -0.2817
  9.63    1.42  -0.2761
  8.75    1.49  -0.2639
  7.79    1.57  -0.2318
  6.82    1.57  -0.1833
  5.76    1.50  -0.1582
  4.84    1.47  -0.1662
  3.72    1.41  -0.1725
  2.81    1.36  -0.1790
  1.75    1.32  -0.1894
  0.78    1.32  -0.2017
 -0.32    1.33  -0.2192
 -1.31    1.02  -0.1974
 -2.29    0.95  -0.2042
 -3.39    0.89  -0.2134
 -4.40    0.79  -0.2158
 -5.46    0.71  -0.2197
 -6.47    0.75  -0.2370
 -7.42    0.71  -0.2466
 -8.46    0.64  -0.2500
 -9.50    0.56  -0.2532
Tabulated from data in file 06802gw.dat & reduced using program C10.20

Average Reynolds #:
301335.0
Number of angles of attack:
33
 alpha  /   Cl   /  Cm
-10.25    0.74  -0.2808
 -9.18    0.85  -0.2840
 -8.10    0.95  -0.2827
 -7.20    0.86  -0.2679
 -6.21    0.91  -0.2618
 -5.07    0.95  -0.2507
 -4.07    0.95  -0.2350
 -2.98    0.99  -0.2232
 -1.98    1.04  -0.2141
 -0.96    1.30  -0.2274
  0.02    1.30  -0.2112
  1.09    1.32  -0.1999
  2.02    1.35  -0.1911
  3.13    1.42  -0.1844
  4.12    1.46  -0.1767
  5.19    1.53  -0.1711
  6.24    1.55  -0.1603
  5.73    1.54  -0.1642
  4.79    1.50  -0.1718
  3.78    1.45  -0.1772
  2.77    1.39  -0.1852
  1.73    1.34  -0.1910
  0.76    1.31  -0.2010
 -0.36    1.29  -0.2125
 -1.31    1.32  -0.2392
 -2.42    0.99  -0.2122
 -3.49    0.99  -0.2289
 -4.49    0.96  -0.2408
 -5.43    0.96  -0.2557
 -6.49    0.90  -0.2633
 -7.53    1.00  -0.2800
 -8.59    0.91  -0.2825
 -9.54    0.82  -0.2835
Tabulated from data in file 06803gw.dat & reduced using program C10.20

Average Reynolds #:
402141.2
Number of angles of attack:
33
 alpha  /   Cl   /  Cm
-10.11    0.78  -0.2833
 -9.11    0.87  -0.2829
 -8.07    0.97  -0.2814
 -7.16    1.04  -0.2795
 -6.04    1.13  -0.2748
 -5.12    1.20  -0.2715
 -4.05    1.10  -0.2543
 -3.10    1.13  -0.2450
 -1.91    1.26  -0.2408
 -0.99    1.25  -0.2176
 -0.09    1.28  -0.2085
  1.10    1.33  -0.2006
  2.13    1.38  -0.1925
  3.04    1.42  -0.1849
  4.13    1.49  -0.1779
  5.20    1.54  -0.1696
  6.05    1.58  -0.1640
  5.81    1.57  -0.1657
  4.70    1.52  -0.1739
  3.65    1.46  -0.1791
  2.62    1.40  -0.1865
  1.72    1.35  -0.1923
  0.71    1.31  -0.2012
 -0.35    1.27  -0.2102
 -1.49    1.26  -0.2285
 -2.47    1.31  -0.2597
 -3.36    1.12  -0.2461
 -4.36    1.25  -0.2666
 -5.49    1.18  -0.2731
 -6.47    1.10  -0.2774
 -7.50    1.02  -0.2814
 -8.56    0.92  -0.2824
 -9.70    0.82  -0.2831
Tabulated from data in file 06804gw.dat & reduced using program C10.20

File ag455ct_fp25_lift.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:57
