Airfoil: AG455ct-02r fn15.4
Builder: M. Drela, et al.
Comment: Clean, Flap = -15.4°

Number of Reynolds #'s:
5

Average Reynolds #:
99985.8
Number of angles of attack:
53
 alpha  /   Cl   /  Cm
 -8.14   -0.97   0.1648
 -7.13   -1.00   0.1594
 -6.26   -0.99   0.1480
 -5.12   -1.01   0.1243
 -4.16   -0.97   0.0965
 -3.28   -0.91   0.0800
 -2.21   -0.82   0.0764
 -1.21   -0.74   0.0810
 -0.21   -0.65   0.0842
  0.86   -0.56   0.0892
  1.87   -0.52   0.1037
  2.92   -0.44   0.1121
  3.90   -0.35   0.1124
  4.94   -0.25   0.1141
  5.99   -0.15   0.1158
  7.00   -0.05   0.1167
  8.01    0.05   0.1157
  9.04    0.16   0.1150
 10.18    0.28   0.1135
 11.35    0.39   0.1127
 12.36    0.47   0.1078
 13.08    0.52   0.0992
 14.24    0.52  -0.0132
 15.25    0.54  -0.0253
 16.14    0.55  -0.0296
 17.06    0.59  -0.0396
 18.06    0.59  -0.0386
 17.77    0.60  -0.0296
 16.69    0.56  -0.0230
 15.84    0.58  -0.0226
 14.78    0.56  -0.0153
 13.73    0.55   0.0082
 12.49    0.51   0.1086
 11.70    0.44   0.1122
 10.82    0.36   0.1177
  9.79    0.26   0.1215
  8.78    0.15   0.1237
  7.77    0.06   0.1233
  6.73   -0.05   0.1229
  5.67   -0.15   0.1238
  4.71   -0.24   0.1234
  3.60   -0.34   0.1241
  2.64   -0.42   0.1222
  1.54   -0.49   0.0929
  0.51   -0.57   0.0873
 -0.52   -0.66   0.0828
 -1.47   -0.74   0.0784
 -2.49   -0.84   0.0798
 -3.58   -0.93   0.0929
 -4.47   -0.99   0.1159
 -5.50   -1.01   0.1431
 -6.49   -1.00   0.1623
 -7.47   -0.98   0.1697
Tabulated from data in file 06733gw.dat & reduced using program C10.20

Average Reynolds #:
199989.9
Number of angles of attack:
53
 alpha  /   Cl   /  Cm
 -8.18   -1.01   0.1794
 -7.20   -1.03   0.1709
 -6.17   -1.03   0.1574
 -5.18   -1.03   0.1376
 -4.20   -1.01   0.1107
 -3.22   -0.94   0.0888
 -2.13   -0.84   0.0806
 -1.33   -0.76   0.0846
 -0.19   -0.66   0.0923
  0.89   -0.57   0.0967
  1.89   -0.49   0.1009
  2.95   -0.42   0.1125
  3.98   -0.31   0.1137
  4.97   -0.22   0.1135
  6.07   -0.12   0.1127
  7.04   -0.02   0.1131
  8.37    0.09   0.1122
  9.07    0.15   0.1119
 10.04    0.26   0.1098
 11.13    0.37   0.1075
 12.18    0.47   0.1047
 13.14    0.59   0.0970
 13.96    0.63  -0.0057
 15.11    0.64  -0.0352
 16.02    0.64  -0.0396
 17.02    0.66  -0.0482
 18.05    0.65  -0.0440
 17.69    0.66  -0.0433
 16.76    0.65  -0.0394
 15.71    0.65  -0.0371
 14.76    0.64  -0.0297
 14.02    0.67   0.0887
 12.84    0.55   0.1023
 11.85    0.45   0.1081
 10.84    0.34   0.1105
  9.71    0.23   0.1126
  8.26    0.12   0.1140
  7.63    0.06   0.1136
  6.68   -0.04   0.1148
  5.63   -0.15   0.1147
  4.69   -0.24   0.1153
  3.65   -0.34   0.1143
  2.62   -0.44   0.1145
  1.58   -0.50   0.0995
  0.53   -0.59   0.0944
 -0.52   -0.68   0.0899
 -1.55   -0.77   0.0833
 -2.50   -0.87   0.0851
 -3.57   -0.96   0.0989
 -4.58   -1.02   0.1232
 -5.46   -1.02   0.1462
 -6.45   -1.02   0.1652
 -7.43   -1.01   0.1762
Tabulated from data in file 06735gw.dat & reduced using program C10.20

Average Reynolds #:
300020.1
Number of angles of attack:
51
 alpha  /   Cl   /  Cm
 -7.62   -1.02   0.1775
 -7.14   -1.04   0.1730
 -6.16   -1.05   0.1583
 -5.16   -1.05   0.1347
 -4.18   -1.02   0.1094
 -3.30   -0.96   0.0910
 -2.15   -0.85   0.0826
 -1.12   -0.77   0.0881
 -0.11   -0.67   0.0953
  0.88   -0.59   0.1006
  1.90   -0.50   0.1048
  3.03   -0.42   0.1122
  4.01   -0.32   0.1124
  5.06   -0.21   0.1126
  6.09   -0.11   0.1123
  7.03   -0.01   0.1116
  7.97    0.04   0.1117
  9.09    0.15   0.1105
 10.13    0.27   0.1092
 11.12    0.38   0.1078
 12.19    0.49   0.1040
 13.22    0.59   0.0976
 14.17    0.69   0.0831
 15.00    0.67  -0.0271
 16.05    0.68  -0.0421
 17.02    0.67  -0.0450
 16.73    0.67  -0.0434
 15.65    0.66  -0.0359
 14.80    0.67  -0.0228
 14.11    0.68   0.0857
 12.86    0.56   0.1012
 11.83    0.45   0.1066
 10.76    0.34   0.1100
  9.71    0.23   0.1107
  8.70    0.12   0.1116
  8.04    0.07   0.1119
  6.71   -0.04   0.1126
  5.66   -0.15   0.1128
  4.60   -0.25   0.1129
  3.66   -0.34   0.1124
  2.54   -0.45   0.1099
  1.53   -0.53   0.1026
  0.47   -0.62   0.0978
 -0.44   -0.69   0.0934
 -1.50   -0.79   0.0845
 -2.55   -0.88   0.0847
 -3.55   -0.97   0.0963
 -4.53   -1.03   0.1205
 -5.55   -1.05   0.1449
 -6.46   -1.05   0.1650
 -7.57   -1.04   0.1775
Tabulated from data in file 06737gw.dat & reduced using program C10.20

Average Reynolds #:
400205.3
Number of angles of attack:
37
 alpha  /   Cl   /  Cm
 -5.22   -1.04   0.1347
 -4.22   -1.00   0.1081
 -3.13   -0.93   0.0877
 -2.17   -0.85   0.0830
 -1.29   -0.77   0.0872
 -0.04   -0.67   0.0972
  0.97   -0.58   0.1018
  2.00   -0.49   0.1052
  2.89   -0.42   0.1099
  3.93   -0.32   0.1116
  5.01   -0.20   0.1111
  6.04   -0.10   0.1107
  7.10    0.00   0.1112
  8.09    0.05   0.1102
  9.07    0.17   0.1098
 10.13    0.28   0.1100
 11.13    0.38   0.1075
 12.18    0.49   0.1056
 13.24    0.60   0.0997
 12.86    0.56   0.1020
 11.82    0.45   0.1068
 10.82    0.35   0.1092
  9.75    0.24   0.1103
  8.65    0.11   0.1111
  7.31    0.02   0.1106
  6.67   -0.04   0.1111
  5.67   -0.14   0.1118
  4.57   -0.25   0.1121
  3.65   -0.34   0.1112
  2.67   -0.43   0.1079
  1.61   -0.51   0.1030
  0.59   -0.61   0.0992
 -0.49   -0.71   0.0949
 -1.59   -0.79   0.0846
 -2.58   -0.88   0.0832
 -3.51   -0.95   0.0930
 -4.48   -1.02   0.1174
Tabulated from data in file 06739gw.dat & reduced using program C10.20

Average Reynolds #:
499873.6
Number of angles of attack:
37
 alpha  /   Cl   /  Cm
 -5.04   -1.02   0.1324
 -4.14   -1.00   0.1074
 -3.23   -0.93   0.0865
 -2.24   -0.85   0.0806
 -1.06   -0.75   0.0874
  0.00   -0.66   0.0959
  0.94   -0.58   0.0996
  1.83   -0.50   0.1027
  2.98   -0.41   0.1078
  3.93   -0.32   0.1095
  5.06   -0.21   0.1102
  6.03   -0.11   0.1103
  7.01   -0.01   0.1107
  8.09    0.04   0.1107
  9.11    0.16   0.1101
 10.17    0.27   0.1095
 11.19    0.38   0.1082
 12.13    0.47   0.1058
 13.17    0.58   0.1017
 12.84    0.55   0.1038
 11.73    0.43   0.1077
 10.90    0.34   0.1089
  9.76    0.23   0.1100
  8.66    0.12   0.1113
  7.28    0.01   0.1111
  6.64   -0.05   0.1109
  5.56   -0.16   0.1106
  4.59   -0.26   0.1110
  3.66   -0.35   0.1097
  2.60   -0.44   0.1057
  1.50   -0.53   0.1016
  0.56   -0.62   0.0989
 -0.56   -0.71   0.0928
 -1.53   -0.79   0.0842
 -2.52   -0.88   0.0819
 -3.59   -0.97   0.0948
 -4.48   -1.02   0.1193
Tabulated from data in file 06741gw.dat & reduced using program C10.20

File ag455ct_fn15_lift.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:56
