Airfoil: W1015-20 fp20
Builder: S. Cassidy
Comment: Clean, Cf/C = 20%, Flap = 20°

Number of Reynolds #'s:
3

Average Reynolds #:
100063.0
Number of angles of attack:
55
 alpha  /   Cl   /  Cm
-10.34   -0.50  -0.1002
 -9.31   -0.39  -0.1070
 -8.20   -0.28  -0.1129
 -7.13   -0.17  -0.1146
 -6.25   -0.09  -0.1151
 -5.29   -0.00  -0.1141
 -4.05    0.10  -0.1112
 -3.25    0.17  -0.1078
 -2.20    0.27  -0.1036
 -1.10    0.38  -0.1083
 -0.05    0.53  -0.1234
  1.07    0.72  -0.1291
  1.92    0.74  -0.1140
  3.02    0.81  -0.1046
  3.92    0.89  -0.1036
  5.10    0.99  -0.1030
  6.13    1.07  -0.1019
  7.15    1.15  -0.1003
  8.16    1.23  -0.0976
  9.06    1.28  -0.0959
 10.21    1.36  -0.0948
 11.20    1.41  -0.0911
 12.20    1.44  -0.0903
 12.92    0.99  -0.2071
 13.89    1.00  -0.2117
 15.00    1.06  -0.2253
 15.96    1.06  -0.2363
 16.96    1.09  -0.2414
 16.76    1.09  -0.2252
 15.73    1.07  -0.2227
 14.70    1.03  -0.2036
 13.70    1.07  -0.2057
 12.75    1.01  -0.1935
 11.65    0.97  -0.1868
 10.68    0.95  -0.1781
  9.66    0.96  -0.1701
  8.84    1.29  -0.0884
  7.80    1.22  -0.0902
  6.70    1.14  -0.0923
  5.72    1.06  -0.0931
  4.69    0.97  -0.0940
  3.62    0.88  -0.0954
  2.64    0.80  -0.0985
  1.63    0.75  -0.1081
  0.58    0.68  -0.1172
 -0.39    0.47  -0.1001
 -1.36    0.38  -0.0950
 -2.49    0.27  -0.0974
 -3.32    0.20  -0.1025
 -4.39    0.10  -0.1067
 -5.47    0.01  -0.1082
 -6.35   -0.08  -0.1094
 -7.49   -0.19  -0.1085
 -8.66   -0.32  -0.1048
 -9.68   -0.42  -0.1000
Tabulated from data in file 07024gw.dat & reduced using program C10.20

Average Reynolds #:
200111.3
Number of angles of attack:
55
 alpha  /   Cl   /  Cm
-10.28   -0.45  -0.1154
 -9.28   -0.35  -0.1176
 -8.38   -0.27  -0.1198
 -7.22   -0.15  -0.1216
 -6.21   -0.05  -0.1224
 -5.25    0.05  -0.1246
 -4.25    0.14  -0.1258
 -3.18    0.25  -0.1268
 -2.11    0.37  -0.1281
 -1.10    0.49  -0.1322
 -0.15    0.63  -0.1346
  0.88    0.67  -0.1210
  2.02    0.75  -0.1121
  2.91    0.82  -0.1084
  4.13    0.92  -0.1054
  5.14    1.01  -0.1037
  6.06    1.10  -0.1025
  7.15    1.19  -0.1013
  8.20    1.28  -0.0999
  9.17    1.36  -0.0987
 10.19    1.44  -0.0969
 11.18    1.51  -0.0961
 12.23    1.57  -0.0946
 13.20    1.54  -0.1002
 14.20    1.50  -0.1163
 15.20    1.44  -0.1248
 15.83    1.07  -0.2251
 16.94    1.09  -0.2328
 16.75    1.08  -0.2307
 15.67    1.09  -0.2234
 14.77    1.09  -0.2165
 13.69    1.08  -0.2124
 12.69    1.01  -0.2041
 11.67    1.01  -0.1992
 11.07    1.50  -0.0915
  9.87    1.41  -0.0926
  8.87    1.34  -0.0943
  7.86    1.25  -0.0955
  6.79    1.16  -0.0962
  5.81    1.07  -0.0977
  4.75    0.99  -0.0994
  3.80    0.90  -0.1013
  2.62    0.80  -0.1043
  1.76    0.73  -0.1084
  0.76    0.66  -0.1171
 -0.44    0.60  -0.1310
 -1.46    0.44  -0.1232
 -2.47    0.33  -0.1228
 -3.50    0.22  -0.1212
 -4.38    0.13  -0.1215
 -5.53    0.01  -0.1189
 -6.34   -0.07  -0.1185
 -7.53   -0.18  -0.1171
 -8.61   -0.29  -0.1152
 -9.54   -0.38  -0.1137
Tabulated from data in file 07026gw.dat & reduced using program C10.20

Average Reynolds #:
399954.5
Number of angles of attack:
51
 alpha  /   Cl   /  Cm
-10.28   -0.47  -0.1206
 -9.49   -0.38  -0.1231
 -8.40   -0.26  -0.1252
 -7.32   -0.16  -0.1265
 -6.22   -0.04  -0.1279
 -5.29    0.06  -0.1293
 -4.16    0.18  -0.1326
