Airfoil: AG455ct-02r fp39.6
Builder: M. Drela, et al.
Comment: Clean, Flap = 39.6°

Number of Reynolds #'s:
3

Average Reynolds #:
101960.8
Number of angles of attack:
37
 alpha  /   Cl   /  Cm
-10.12    0.51  -0.2539
 -9.21    0.60  -0.2603
 -8.11    0.70  -0.2647
 -7.01    0.74  -0.2510
 -6.16    0.80  -0.2428
 -5.15    0.87  -0.2430
 -4.15    0.94  -0.2386
 -3.11    1.04  -0.2403
 -2.01    1.10  -0.2340
 -0.82    1.16  -0.2239
  0.02    1.27  -0.2297
  1.00    1.33  -0.2224
  2.06    1.40  -0.2190
  3.09    1.45  -0.2112
  4.12    1.48  -0.1974
  5.15    1.52  -0.1868
  5.95    1.49  -0.2358
  6.93    1.43  -0.2727
  7.94    1.38  -0.2954
  7.64    1.37  -0.2774
  6.67    1.47  -0.2525
  5.71    1.53  -0.2176
  4.78    1.50  -0.1799
  3.72    1.49  -0.1937
  2.74    1.44  -0.2015
  1.70    1.38  -0.2099
  0.75    1.33  -0.2131
 -0.41    1.22  -0.2176
 -1.28    1.17  -0.2209
 -2.40    1.07  -0.2187
 -3.41    1.01  -0.2230
 -4.45    0.92  -0.2240
 -5.39    0.84  -0.2232
 -6.50    0.79  -0.2357
 -7.53    0.74  -0.2476
 -8.60    0.67  -0.2539
 -9.55    0.59  -0.2506
Tabulated from data in file 06616gw.dat & reduced using program C10.20

Average Reynolds #:
203813.6
Number of angles of attack:
37
 alpha  /   Cl   /  Cm
-10.21    0.62  -0.2635
 -9.16    0.74  -0.2666
 -8.13    0.83  -0.2653
 -7.12    0.91  -0.2626
 -6.00    1.00  -0.2593
 -5.05    1.05  -0.2529
 -4.08    1.11  -0.2439
 -3.02    1.19  -0.2405
 -1.96    1.26  -0.2336
 -0.98    1.35  -0.2316
  0.12    1.42  -0.2270
  1.18    1.50  -0.2231
  2.18    1.56  -0.2184
  3.14    1.60  -0.2086
  4.15    1.60  -0.1929
  5.12    1.65  -0.2289
  6.07    1.58  -0.2746
  7.07    1.47  -0.3003
  7.92    1.42  -0.3057
  7.78    1.45  -0.3015
  6.58    1.49  -0.2863
  5.69    1.64  -0.2510
  4.74    1.65  -0.2084
  3.78    1.62  -0.1987
  2.81    1.60  -0.2120
  1.62    1.54  -0.2188
  0.65    1.47  -0.2227
 -0.33    1.40  -0.2261
 -1.45    1.33  -0.2332
 -2.43    1.22  -0.2322
 -3.44    1.17  -0.2399
 -4.29    1.12  -0.2463
 -5.43    1.05  -0.2546
 -6.46    0.96  -0.2582
 -7.42    0.89  -0.2626
 -8.59    0.79  -0.2636
 -9.42    0.73  -0.2678
Tabulated from data in file 06618gw.dat & reduced using program C10.20

Average Reynolds #:
305953.4
Number of angles of attack:
37
 alpha  /   Cl   /  Cm
-10.13    0.69  -0.2653
 -9.15    0.79  -0.2695
 -8.10    0.87  -0.2653
 -7.18    0.94  -0.2621
 -6.03    1.03  -0.2588
 -5.04    1.11  -0.2558
 -4.09    1.17  -0.2487
 -3.03    1.22  -0.2369
 -1.96    1.32  -0.2352
 -0.94    1.38  -0.2281
 -0.01    1.45  -0.2246
  1.11    1.53  -0.2187
  2.07    1.59  -0.2146
  3.16    1.64  -0.2060
  4.13    1.66  -0.1928
  5.09    1.69  -0.2344
  5.95    1.63  -0.2717
  6.90    1.50  -0.2931
  7.91    1.45  -0.3080
  7.53    1.50  -0.3030
  6.69    1.56  -0.2912
  5.71    1.66  -0.2598
  4.76    1.68  -0.2206
  3.93    1.62  -0.1868
  2.80    1.63  -0.2091
  1.73    1.57  -0.2156
  0.63    1.50  -0.2213
 -0.37    1.43  -0.2253
 -1.37    1.37  -0.2314
 -2.36    1.29  -0.2341
 -3.50    1.21  -0.2418
 -4.44    1.15  -0.2501
 -5.48    1.08  -0.2544
 -6.60    1.00  -0.2600
 -7.63    0.92  -0.2636
 -8.62    0.83  -0.2648
 -9.66    0.74  -0.2639
Tabulated from data in file 06620ga.dat & reduced using program C10.20

File ag455ct_fp40_lift.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:57
