Airfoil: AG455ct-02r fp19.6
Builder: M. Drela, et al.
Comment: Clean, Flap = 19.6°

Number of Reynolds #'s:
4

Average Reynolds #:
100084.1
Number of angles of attack:
45
 alpha  /   Cl   /  Cm
-10.20   -0.25  -0.0625
 -9.20    0.03  -0.1336
 -8.17    0.31  -0.1896
 -7.11    0.40  -0.1933
 -5.80    0.49  -0.1928
 -5.19    0.53  -0.1916
 -3.90    0.61  -0.1829
 -3.08    0.68  -0.1823
 -2.07    0.76  -0.1778
 -1.06    0.84  -0.1779
 -0.06    0.92  -0.1762
  1.05    1.32  -0.2047
  2.09    1.34  -0.1911
  3.04    1.30  -0.1730
  4.02    1.30  -0.1609
  5.10    1.34  -0.1509
  6.16    1.38  -0.1422
  7.13    1.42  -0.1393
  8.08    1.42  -0.2024
  8.99    1.32  -0.2422
  9.92    1.29  -0.2569
 10.87    1.28  -0.2626
 12.02    1.28  -0.2683
 11.64    1.24  -0.2546
 10.75    1.25  -0.2446
  9.66    1.28  -0.2380
  8.74    1.37  -0.2129
  7.79    1.43  -0.1681
  6.74    1.40  -0.1303
  5.81    1.37  -0.1375
  4.77    1.34  -0.1461
  3.87    1.32  -0.1549
  2.77    1.32  -0.1687
  1.75    1.35  -0.1866
  0.70    1.08  -0.1811
 -0.34    0.91  -0.1677
 -1.35    0.83  -0.1696
 -2.39    0.76  -0.1737
 -3.39    0.68  -0.1753
 -4.42    0.60  -0.1808
 -5.83    0.52  -0.1874
 -6.88    0.45  -0.1919
 -7.52    0.39  -0.1900
 -8.50    0.29  -0.1854
 -9.50   -0.11  -0.0825
Tabulated from data in file 06793gw.dat & reduced using program C10.20

Average Reynolds #:
199840.1
Number of angles of attack:
45
 alpha  /   Cl   /  Cm
-10.58    0.14  -0.1547
 -9.18    0.42  -0.2248
 -8.23    0.54  -0.2338
 -7.16    0.64  -0.2346
 -6.12    0.71  -0.2303
 -5.11    0.77  -0.2232
 -4.11    0.82  -0.2134
 -3.12    0.86  -0.2026
 -2.10    0.92  -0.1946
 -0.99    1.01  -0.1947
  0.04    1.32  -0.2107
  1.12    1.32  -0.1930
  2.09    1.34  -0.1806
  3.04    1.35  -0.1697
  4.09    1.39  -0.1613
  5.12    1.43  -0.1533
  6.11    1.46  -0.1456
  7.13    1.48  -0.1379
  8.11    1.51  -0.2061
  9.03    1.51  -0.2376
  9.92    1.36  -0.2614
 10.93    1.29  -0.2605
 11.98    1.32  -0.2705
 11.67    1.31  -0.2623
 10.68    1.35  -0.2582
  9.67    1.33  -0.2502
  8.74    1.49  -0.2260
  7.83    1.51  -0.1851
  6.82    1.48  -0.1356
  5.87    1.46  -0.1441
  4.77    1.41  -0.1519
  3.81    1.38  -0.1605
  2.83    1.35  -0.1684
  1.74    1.34  -0.1818
  0.85    1.33  -0.1939
 -0.31    1.34  -0.2149
 -1.32    0.98  -0.1902
 -2.36    0.92  -0.1940
 -3.42    0.86  -0.2027
 -4.38    0.81  -0.2120
 -5.44    0.77  -0.2231
 -6.46    0.70  -0.2297
 -7.45    0.61  -0.2312
 -8.55    0.50  -0.2275
 -9.48    0.39  -0.2201
Tabulated from data in file 06795gw.dat & reduced using program C10.20

Average Reynolds #:
299895.0
Number of angles of attack:
35
 alpha  /   Cl   /  Cm
-10.17    0.45  -0.2331
 -9.12    0.57  -0.2383
 -8.08    0.69  -0.2425
 -7.12    0.79  -0.2430
 -6.10    0.90  -0.2438
 -5.03    0.99  -0.2399
 -3.95    1.08  -0.2380
 -3.09    1.07  -0.2297
 -2.02    1.10  -0.2170
 -0.93    1.30  -0.2197
 -0.10    1.28  -0.2006
  0.97    1.29  -0.1880
  1.96    1.32  -0.1775
  3.07    1.37  -0.1689
  4.14    1.42  -0.1615
  5.12    1.45  -0.1539
  6.15    1.49  -0.1463
  7.19    1.52  -0.1384
  6.75    1.51  -0.1402
  5.75    1.47  -0.1473
  4.85    1.44  -0.1543
  3.79    1.41  -0.1634
  2.66    1.36  -0.1722
  1.66    1.33  -0.1810
  0.83    1.30  -0.1893
 -0.36    1.30  -0.2060
 -1.39    1.20  -0.2194
 -2.41    1.10  -0.2199
 -3.47    1.05  -0.2294
 -4.46    1.04  -0.2376
 -5.41    0.95  -0.2390
 -6.44    0.86  -0.2424
 -7.59    0.75  -0.2426
 -8.48    0.64  -0.2405
 -9.60    0.52  -0.2347
Tabulated from data in file 06797gw.dat & reduced using program C10.20

Average Reynolds #:
400432.0
Number of angles of attack:
35
 alpha  /   Cl   /  Cm
-10.17    0.47  -0.2347
 -9.16    0.59  -0.2409
 -8.14    0.71  -0.2437
