Airfoil: W1011-20 f0
Builder: S. Cassidy
Comment: Clean, Cf/C = 20%, Flap = 0°

Number of Reynolds #'s:
3

Average Reynolds #:
100055.6
Number of angles of attack:
49
 alpha  /   Cl   /  Cm
-10.27   -0.89  -0.0132
 -9.25   -0.83  -0.0110
 -8.36   -0.77  -0.0095
 -7.22   -0.69  -0.0067
 -6.22   -0.61  -0.0027
 -5.35   -0.53  -0.0009
 -4.13   -0.42   0.0006
 -3.12   -0.34   0.0043
 -2.17   -0.26   0.0088
 -1.07   -0.16   0.0096
 -0.23   -0.02  -0.0072
  0.92    0.15  -0.0205
  1.95    0.24  -0.0107
  3.05    0.34  -0.0070
  3.94    0.42  -0.0052
  5.07    0.53  -0.0039
  6.15    0.62  -0.0012
  7.15    0.71  -0.0007
  8.13    0.78   0.0001
  9.16    0.84   0.0022
  9.90    0.74  -0.0859
 10.90    0.73  -0.1024
 11.87    0.71  -0.1086
 12.99    0.68  -0.1098
 14.00    0.66  -0.1085
 13.61    0.73  -0.1045
 12.77    0.70  -0.0935
 11.61    0.71  -0.0845
 10.82    0.76  -0.0841
  9.94    0.91   0.0083
  8.74    0.84   0.0073
  7.73    0.77   0.0055
  6.75    0.70   0.0035
  5.68    0.61   0.0015
  4.63    0.52  -0.0006
  3.64    0.42  -0.0022
  2.62    0.33  -0.0055
  1.62    0.25  -0.0103
  0.62    0.15  -0.0096
 -0.46   -0.04   0.0134
 -1.35   -0.14   0.0159
 -2.37   -0.24   0.0100
 -3.34   -0.32   0.0047
 -4.53   -0.42   0.0007
 -5.50   -0.51  -0.0014
 -6.61   -0.61  -0.0022
 -7.50   -0.68  -0.0045
 -8.64   -0.77  -0.0075
 -9.67   -0.84  -0.0096
Tabulated from data in file 07068gw.dat & reduced using program C10.20

Average Reynolds #:
199933.7
Number of angles of attack:
51
 alpha  /   Cl   /  Cm
-10.21   -0.93  -0.0081
 -9.28   -0.87  -0.0062
 -8.29   -0.79  -0.0044
 -7.22   -0.71  -0.0035
 -6.23   -0.61  -0.0020
 -5.12   -0.50  -0.0008
 -4.09   -0.39  -0.0001
 -3.11   -0.30   0.0012
 -2.21   -0.21   0.0016
 -1.09   -0.07  -0.0068
 -0.03    0.02  -0.0029
  0.91    0.12  -0.0020
  2.04    0.26  -0.0068
  2.93    0.34  -0.0055
  3.92    0.44  -0.0043
  5.12    0.54  -0.0032
  6.07    0.63  -0.0025
  7.14    0.74  -0.0016
  8.05    0.82  -0.0006
  9.25    0.90   0.0014
 10.20    0.96   0.0028
 11.15    1.00   0.0033
 11.78    0.77  -0.1056
 12.85    0.77  -0.1138
 13.86    0.73  -0.1136
 15.03    0.74  -0.1176
 14.81    0.74  -0.1101
 13.80    0.74  -0.1097
 12.72    0.75  -0.1027
 11.71    0.79  -0.1019
 10.99    1.00   0.0083
  9.87    0.94   0.0070
  8.74    0.87   0.0048
  7.80    0.80   0.0034
  6.77    0.70   0.0016
  5.69    0.61   0.0004
  4.65    0.51  -0.0008
  3.63    0.41  -0.0023
  2.60    0.32  -0.0037
  1.64    0.23  -0.0058
  0.58    0.09   0.0013
 -0.32    0.00  -0.0023
 -1.51   -0.12  -0.0032
 -2.55   -0.24   0.0020
 -3.37   -0.32   0.0006
 -4.45   -0.43  -0.0008
 -5.54   -0.54  -0.0022
 -6.63   -0.64  -0.0037
 -7.55   -0.73  -0.0053
 -8.61   -0.82  -0.0071
 -9.63   -0.89  -0.0090
Tabulated from data in file 07070gw.dat & reduced using program C10.20

Average Reynolds #:
399867.3
Number of angles of attack:
51
 alpha  /   Cl   /  Cm
-10.27   -0.96  -0.0083
 -9.35   -0.89  -0.0068
 -8.24   -0.78  -0.0054
 -7.43   -0.72  -0.0051
 -6.31   -0.61  -0.0040
 -5.25   -0.51  -0.0030
 -4.24   -0.41  -0.0022
 -3.18   -0.30  -0.0029
 -2.11   -0.17  -0.0071
 -1.04   -0.07  -0.0057
 -0.01    0.03  -0.0035
  0.88    0.11  -0.0015
  2.07    0.24  -0.0026
  3.06    0.34  -0.0035
  4.09    0.42  -0.0028
  4.94    0.51  -0.0021
  6.13    0.63  -0.0011
  7.13    0.72  -0.0001
  8.05    0.81   0.0012
  9.21    0.90   0.0029
 10.11    0.97   0.0044
 11.30    1.05   0.0070
 12.27    1.08   0.0083
 13.09    1.08  -0.0047
 13.84    0.81  -0.1121
 14.96    0.77  -0.1125
 14.70    0.78  -0.1115
 13.82    0.83  -0.1139
 12.77    0.84  -0.1002
 11.88    1.07   0.0102
 10.84    1.02   0.0081
  9.80    0.94   0.0058
  8.72    0.86   0.0044
  7.87    0.79   0.0033
  6.81    0.69   0.0022
  5.78    0.59   0.0013
  4.82    0.49   0.0003
  3.70    0.38  -0.0006
  2.60    0.29  -0.0005
  1.58    0.17   0.0025
  0.62    0.08   0.0003
 -0.53   -0.03  -0.0023
 -1.45   -0.12  -0.0043
 -2.37   -0.21  -0.0043
 -3.53   -0.35  -0.0004
 -4.40   -0.44  -0.0015
 -5.45   -0.54  -0.0030
 -6.67   -0.66  -0.0044
 -7.66   -0.76  -0.0060
 -8.69   -0.86  -0.0078
 -9.71   -0.93  -0.0089
Tabulated from data in file 07072gw.dat & reduced using program C10.20

File w1011-20_f0_lift.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:57
